key,title,year,doi,pubmed_id,batch,pdf_retrieved,pdf_path,,,,,,,
rayyan-601300504,Inter hospital external validation of interpretable machine learning based triage score for the emergency department using common data model.,2024,10.1038/s41598-024-54364-7,38509133,bulk_include,yes,data/extraction/fulltext_pdfs/rayyan-601300504_PMC10954621.pdf,,,,,,,
rayyan-601300516,Leveraging Large-Scale Electronic Health Records and Interpretable Machine Learning for Clinical Decision Making at the Emergency Department: Protocol for System Development and Validation.,2022,10.2196/34201,35333179,bulk_include,yes,data/extraction/fulltext_pdfs/rayyan-601300516_PMC9492092.pdf,,,,,,,
rayyan-601300564,Interpretable Machine Learning to Anticipate the Diagnostic Yield of EEG in the Emergency department. The EMINENCE study.,2026,10.1007/s10916-026-02397-y,42062615,bulk_include,yes,data/extraction/fulltext_pdfs/rayyan-601300564_PMC13132943.pdf,,,,,,,
rayyan-601300626,Data-driven decision support in hospital resource planning: an artificial intelligence-based model proposal for emergency department demand.,2026,10.1016/j.ijmedinf.2026.106483,42143518,bulk_include,no,,,,,,,,
rayyan-601300641,Should we leave paediatric emergency triage to artificial intelligence? A comparison of ChatGPT 4o and Grok 3.,2026,10.3389/fped.2026.1739217,41782959,bulk_include,yes,data/extraction/fulltext_pdfs/rayyan-601300641_PMC12953526.pdf,,,,,,,
rayyan-601300644,Natural language processing to intercept rheumatoid and psoriatic arthritis from clinical notes in the Emergency Department.,2026,10.1177/1759720X261431361,41948113,bulk_include,yes,data/extraction/fulltext_pdfs/rayyan-601300644_PMC13051175.pdf,,,,,,,
rayyan-601300656,"Interpretable Machine Learning for Emergency Department Triage: Clinical Insights from 133,198 Patients Using the Korean Triage and Acuity Scale (KTAS).",2026,10.3390/diagnostics16060954,41897687,bulk_include,yes,data/extraction/fulltext_pdfs/rayyan-601300656_PMC13025175.pdf,,,,,,,
rayyan-601300257,FAIM: Fairness-aware interpretable modeling for trustworthy machine learning in healthcare.,2024,10.1016/j.patter.2024.101059,39569213,adjudicated_borderline,yes,data/extraction/fulltext_pdfs/rayyan-601300257_PMC11573921.pdf,,,,,,,
rayyan-601300299,Predicting acute clinical deterioration with interpretable machine learning to support emergency care decision making.,2023,10.1038/s41598-023-40661-0,37604974,adjudicated_borderline,yes,data/extraction/fulltext_pdfs/rayyan-601300299_PMC10442440.pdf,,,,,,,
rayyan-601300312,Deep learning-based natural language processing for detecting medical symptoms and histories in emergency patient triage.,2024,10.1016/j.ajem.2023.11.063,38096637,adjudicated_borderline,no,,,,,,,,
rayyan-601300331,Human-centred AI for emergency cardiac care: Evaluating RAPIDx AI with PROLIFERATE_AI.,2025,10.1016/j.ijmedinf.2025.105810,39893766,adjudicated_borderline,yes,data/extraction/fulltext_pdfs/rayyan-601300331.pdf,,,,,,,
rayyan-601300363,Machine learning-based triage model for elderly traumatic brain injury patients in Chinese emergency department.,2026,10.3389/fneur.2026.1817051,42266581,adjudicated_borderline,yes,data/extraction/fulltext_pdfs/rayyan-601300363_PMC13243014.pdf,,,,,,,
rayyan-601300375,An interpretable deep-learning model for early prediction of sepsis in the emergency department.,2021,10.1016/j.patter.2020.100196,33659912,adjudicated_borderline,yes,data/extraction/fulltext_pdfs/rayyan-601300375_PMC7892361.pdf,,,,,,,
rayyan-601300384,Using machine learning to assist decision making in the assessment of mental health patients presenting to emergency departments.,2024,10.1177/20552076241287364,39534524,adjudicated_borderline,yes,data/extraction/fulltext_pdfs/rayyan-601300384_PMC11555739.pdf,,,,,,,
rayyan-601300407,Machine learning enables early risk stratification of hymenopteran stings: evidence from a tropical multicenter cohort.,2025,10.3389/fpubh.2025.1664606,41229473,adjudicated_borderline,yes,data/extraction/fulltext_pdfs/rayyan-601300407_PMC12602473.pdf,,,,,,,
rayyan-601300408,"A study of ""left against medical advice"" emergency department patients: an optimized explainable artificial intelligence framework.",2024,10.1007/s10729-024-09684-5,39138745,adjudicated_borderline,yes,data/extraction/fulltext_pdfs/rayyan-601300408_PMC11645325.pdf,,,,,,,
rayyan-601300426,Accurate prediction of sepsis from pediatric emergency department to PICU using a machine-learning model.,2025,10.3389/fped.2025.1610187,41142005,adjudicated_borderline,yes,data/extraction/fulltext_pdfs/rayyan-601300426_PMC12550503.pdf,,,,,,,start
rayyan-601300441,Identification of avoidable patients at triage in a Paediatric Emergency Department: a decision support system using predictive analytics.,2024,10.1186/s12873-024-01029-3,39155373,adjudicated_borderline,yes,data/extraction/fulltext_pdfs/rayyan-601300441_PMC11331632.pdf,,,,,,,
rayyan-601300507,Development of BERT-based large language models for emergency department triage using real-world conversations.,2026,10.1093/jamia/ocag007,41649331,adjudicated_borderline,no,,,,,,,,
rayyan-601300537,Validation of a machine learning model for predicting early deterioration in the emergency department.,2026,10.1016/j.ajem.2026.05.007,42184774,adjudicated_borderline,no,,,,,,,,
rayyan-601300549,Automatic Classification of the Korean Triage Acuity Scale in Simulated Emergency Rooms Using Speech Recognition and Natural Language Processing: a Proof of Concept Study.,2021,10.3346/jkms.2021.36.e175,34254471,adjudicated_borderline,yes,data/extraction/fulltext_pdfs/rayyan-601300549_PMC8275459.pdf,,,,,,,
rayyan-601300560,Emergency Department Prediction of In-Hospital Mortality in Suspected Pulmonary Embolism: An Explainable Machine Learning Approach.,2026,10.3390/jcm15041340,41753029,adjudicated_borderline,yes,data/extraction/fulltext_pdfs/rayyan-601300560_PMC12942220.pdf,,,,,,,
rayyan-601300584,Accuracy is not enough: explainable boosting machine model and identification of candidate biomarkers for real-time sepsis risk assessment in the emergency department.,2025,10.1186/s12873-025-01402-w,41315982,adjudicated_borderline,yes,data/extraction/fulltext_pdfs/rayyan-601300584_PMC12664189.pdf,,,,,,,
rayyan-601300595,Emergency department narratives for early risk stratification of serious disposition in older adults after falls: A survival modelling study with external validation.,2026,10.1016/j.ijmedinf.2026.106481,42214283,adjudicated_borderline,yes,data/extraction/fulltext_pdfs/rayyan-601300595.pdf,,,,,,,
rayyan-601300657,Integrating the interpretable machine learning Score For Emergency Risk Prediction (SERP) with emergency department triage to better predict 30-Day mortality.,2026,10.15441/ceem.25.253,41928701,adjudicated_borderline,yes,data/extraction/fulltext_pdfs/rayyan-601300657.pdf,,,,,,,
rayyan-601300673,Comparative performance of manual triage systems and ML models in predicting clinical outcomes among patients transported to the emergency department by emergency medical services.,2026,10.1186/s12873-026-01595-8,42032461,adjudicated_borderline,yes,data/extraction/fulltext_pdfs/rayyan-601300673_PMC13244967.pdf,,,,,,,
